code	level	parent	name_en
2423	unit	242	Personnel and Careers Professionals
2424	unit	242	Training and Staff Development Professionals
243	minor	24	Sales, Marketing and Public Relations Professionals
2431	unit	243	Advertising and Marketing Professionals
2432	unit	243	Public Relations Professionals
2433	unit	243	Technical and Medical Sales Professionals (excluding ICT)
2434	unit	243	Information and Communications Technology Sales Professionals
25	sub-major	2	Information and Communications Technology Professionals
251	minor	25	Software and Applications Developers and Analysts
2511	unit	251	Systems Analysts
2512	unit	251	Software Developers
2513	unit	251	Web and Multimedia Developers
2514	unit	251	Applications Programmers
2519	unit	251	Software and Applications Developers and Analysts Not Elsewhere Classified
252	minor	25	Database and Network Professionals
2521	unit	252	Database Designers and Administrators
2522	unit	252	Systems Administrators
2523	unit	252	Computer Network Professionals
2529	unit	252	Database and Network Professionals Not Elsewhere Classified
26	sub-major	2	Legal, Social and Cultural Professionals
261	minor	26	Legal Professionals
2611	unit	261	Lawyers
2612	unit	261	Judges
2619	unit	261	Legal Professionals Not Elsewhere Classified
262	minor	26	Librarians, Archivists and Curators
2621	unit	262	Archivists and Curators
2622	unit	262	Librarians and Related Information Professionals
263	minor	26	Social and Religious Professionals
2631	unit	263	Economists
2632	unit	263	Sociologists, Anthropologists and Related Professionals
2633	unit	263	Philosophers, Historians and Political Scientists
2634	unit	263	Psychologists
2635	unit	263	Social Work and Counselling Professionals
2636	unit	263	Religious Professionals
264	minor	26	Authors, Journalists and Linguists
2641	unit	264	Authors and Related Writers
2642	unit	264	Journalists
2643	unit	264	Translators, Interpreters and Other Linguists
265	minor	26	Creative and Performing Artists
2651	unit	265	Visual Artists
2652	unit	265	Musicians, Singers and Composers
2653	unit	265	Dancers and Choreographers
2654	unit	265	Film, Stage and Related Directors and Producers
2655	unit	265	Actors
2656	unit	265	Announcers on Radio, Television and Other Media
2659	unit	265	Creative and Performing Artists Not Elsewhere Classified
3	major		Technicians and Associate Professionals
31	sub-major	3	Science and Engineering Associate Professionals
311	minor	31	Physical and Engineering Science Technicians
3111	unit	311	Chemical and Physical Science Technicians
3112	unit	311	Civil Engineering Technicians
3113	unit	311	Electrical Engineering Technicians
3114	unit	311	Electronics Engineering Technicians
3115	unit	311	Mechanical Engineering Technicians
3116	unit	311	Chemical Engineering Technicians
3117	unit	311	Mining and Metallurgical Technicians
3118	unit	311	Draughtspersons
3119	unit	311	Physical and Engineering Science Technicians Not Elsewhere Classified
312	minor	31	Mining, Manufacturing and Construction Supervisors
3121	unit	312	Mining Supervisors
3122	unit	312	Manufacturing Supervisors
3123	unit	312	Construction Supervisors
313	minor	31	Process Control Technicians
3131	unit	313	Power Production Plant Operators
3132	unit	313	Incinerator and Water Treatment Plant Operators
3133	unit	313	Chemical Processing Plant Controllers
3134	unit	313	Petroleum and Natural Gas Refining Plant Operators
3135	unit	313	Metal Production Process Controllers
3139	unit	313	Process Control Technicians Not Elsewhere Classified
314	minor	31	Life Science Technicians and Related Associate Professionals
3141	unit	314	Life Science Technicians (excluding Medical)
3142	unit	314	Agricultural Technicians
3143	unit	314	Forestry Technicians
315	minor	31	Ship and Aircraft Controllers and Technicians
3151	unit	315	Ships' Engineers
3152	unit	315	Ships' Deck Officers and Pilots
3153	unit	315	Aircraft Pilots and Related Associate Professionals
3154	unit	315	Air Traffic Controllers
3155	unit	315	Air Traffic Safety Electronics Technicians
32	sub-major	3	Health Associate Professionals
321	minor	32	Medical and Pharmaceutical Technicians
3211	unit	321	Medical Imaging and Therapeutic Equipment Technicians
3212	unit	321	Medical and Pathology Laboratory Technicians
3213	unit	321	Pharmaceutical Technicians and Assistants
3214	unit	321	Medical and Dental Prosthetic Technicians
322	minor	32	Nursing and Midwifery Associate Professionals
3221	unit	322	Nursing Associate Professionals
3222	unit	322	Midwifery Associate Professionals
323	minor	32	Traditional and Complementary Medicine Associate Professionals
3230	unit	323	Traditional and Complementary Medicine Associate Professionals
324	minor	32	Veterinary Technicians and Assistants
3240	unit	324	Veterinary Technicians and Assistants
325	minor	32	Other Health Associate Professionals
3251	unit	325	Dental Assistants and Therapists
3252	unit	325	Medical Records and Health Information Technicians
3253	unit	325	Community Health Workers
3254	unit	325	Dispensing Opticians
3255	unit	325	Physiotherapy Technicians and Assistants
3256	unit	325	Medical Assistants
3257	unit	325	Environmental and Occupational Health Inspectors and Associates
3258	unit	325	Ambulance Workers
3259	unit	325	Health Associate Professionals Not Elsewhere Classified
33	sub-major	3	Business and Administration Associate Professionals
331	minor	33	Financial and Mathematical Associate Professionals
3311	unit	331	Securities and Finance Dealers and Brokers
3312	unit	331	Credit and Loans Officers
3313	unit	331	Accounting Associate Professionals
3314	unit	331	Statistical, Mathematical and Related Associate Professionals
3315	unit	331	Valuers and Loss Assessors
332	minor	33	Sales and Purchasing Agents and Brokers
3321	unit	332	Insurance Representatives
3322	unit	332	Commercial Sales Representatives
3323	unit	332	Buyers
3324	unit	332	Trade Brokers
333	minor	33	Business Services Agents
3331	unit	333	Clearing and Forwarding Agents
3332	unit	333	Conference and Event Planners
3333	unit	333	Employment Agents and Contractors
3334	unit	333	Real Estate Agents and Property Managers
3339	unit	333	Business Services Agents Not Elsewhere Classified
334	minor	33	Administrative and Specialized Secretaries
3341	unit	334	Office Supervisors
3342	unit	334	Legal Secretaries
3343	unit	334	Administrative and Executive Secretaries
3344	unit	334	Medical Secretaries
335	minor	33	Government Regulatory Associate Professionals
3351	unit	335	Customs and Border Inspectors
3352	unit	335	Government Tax and Excise Officials
3353	unit	335	Government Social Benefits Officials
3354	unit	335	Government Licensing Officials
3355	unit	335	Police Inspectors and Detectives
3359	unit	335	Government Regulatory Associate Professionals Not Elsewhere Classified
34	sub-major	3	Legal, Social, Cultural and Related Associate Professionals
341	minor	34	Legal, Social and Religious Associate Professionals
3411	unit	341	Legal and Related Associate Professionals
3412	unit	341	Social Work Associate Professionals
3413	unit	341	Religious Associate Professionals
342	minor	34	Sports and Fitness Workers
3421	unit	342	Athletes and Sports Players
3422	unit	342	Sports Coaches, Instructors and Officials
3423	unit	342	Fitness and Recreation Instructors and Programme Leaders
343	minor	34	Artistic, Cultural and Culinary Associate Professionals
3431	unit	343	Photographers
3432	unit	343	Interior Designers and Decorators
3433	unit	343	Gallery, Museum and Library Technicians
3434	unit	343	Chefs
3435	unit	343	Other Artistic and Cultural Associate Professionals
35	sub-major	3	Information and Communications Technicians
351	minor	35	Information and Communications Technology Operations and User Support Technicians
3511	unit	351	Information and Communications Technology Operations Technicians
3512	unit	351	Information and Communications Technology User Support Technicians
3513	unit	351	Computer Network and Systems Technicians
3514	unit	351	Web Technicians
352	minor	35	Telecommunications and Broadcasting Technicians
3521	unit	352	Broadcasting and Audiovisual Technicians
3522	unit	352	Telecommunications Engineering Technicians
4	major		Clerical Support Workers
41	sub-major	4	General and Keyboard Clerks
411	minor	41	General Office Clerks
4110	unit	411	General Office Clerks
412	minor	41	Secretaries (general)
4120	unit	412	Secretaries (general)
413	minor	41	Keyboard Operators
4131	unit	413	Typists and Word Processing Operators
4132	unit	413	Data Entry Clerks
42	sub-major	4	Customer Services Clerks
421	minor	42	Tellers, Money Collectors and Related Clerks
4211	unit	421	Bank Tellers and Related Clerks
4212	unit	421	Bookmakers, Croupiers and Related Gaming Workers
4213	unit	421	Pawnbrokers and Money-lenders
4214	unit	421	Debt Collectors and Related Workers
422	minor	42	Client Information Workers
4221	unit	422	Travel Consultants and Clerks
4222	unit	422	Contact Centre Information Clerks
4223	unit	422	Telephone Switchboard Operators
4224	unit	422	Hotel Receptionists
4225	unit	422	Inquiry Clerks
4226	unit	422	Receptionists (general)
4227	unit	422	Survey and Market Research Interviewers
4229	unit	422	Client Information Workers Not Elsewhere Classified
43	sub-major	4	Numerical and Material Recording Clerks
431	minor	43	Numerical Clerks
4311	unit	431	Accounting and Bookkeeping Clerks
4312	unit	431	Statistical, Finance and Insurance Clerks
4313	unit	431	Payroll Clerks
432	minor	43	Material Recording and Transport Clerks
4321	unit	432	Stock Clerks
4322	unit	432	Production Clerks
4323	unit	432	Transport Clerks
44	sub-major	4	Other Clerical Support Workers
441	minor	44	Other Clerical Support Workers
4411	unit	441	Library Clerks
4412	unit	441	Mail Carriers and Sorting Clerks
4413	unit	441	Coding, Proofreading and Related Clerks
4414	unit	441	Scribes and Related Workers
4415	unit	441	Filing and Copying Clerks
4416	unit	441	Personnel Clerks
4419	unit	441	Clerical Support Workers Not Elsewhere Classified
5	major		Service and Sales Workers
51	sub-major	5	Personal Services Workers
511	minor	51	Travel Attendants, Conductors and Guides
5111	unit	511	Travel Attendants and Travel Stewards
5112	unit	511	Transport Conductors
5113	unit	511	Travel Guides
512	minor	51	Cooks
5120	unit	512	Cooks
513	minor	51	Waiters and Bartenders
5131	unit	513	Waiters
5132	unit	513	Bartenders
514	minor	51	Hairdressers, Beauticians and Related Workers
5141	unit	514	Hairdressers
5142	unit	514	Beauticians and Related Workers
515	minor	51	Building and Housekeeping Supervisors
5151	unit	515	Cleaning and Housekeeping Supervisors in Offices, Hotels and Other Establishments
5152	unit	515	Domestic Housekeepers
5153	unit	515	Building Caretakers
516	minor	51	Other Personal Services Workers
5161	unit	516	Astrologers, Fortune-tellers and Related Workers
5162	unit	516	Companions and Valets
5163	unit	516	Undertakers and Embalmers
5164	unit	516	Pet Groomers and Animal Care Workers
5165	unit	516	Driving Instructors
5169	unit	516	Personal Services Workers Not Elsewhere Classified
52	sub-major	5	Sales Workers
521	minor	52	Street and Market Salespersons
