code	level	parent	name_en
0917	detailed	091	Traditional and complementary medicine and therapy
0919	detailed	091	Health not elsewhere classified
092	narrow	09	Welfare
0920	detailed	092	Welfare not further defined
0921	detailed	092	Care of the elderly and of disabled adults
0922	detailed	092	Child care and youth services
0923	detailed	092	Social work and counselling
0929	detailed	092	Welfare not elsewhere classified
098	narrow	09	Inter-disciplinary programmes and qualifications involving health and welfare
0988	detailed	098	Inter-disciplinary programmes and qualifications involving health and welfare
099	narrow	09	Health and welfare not elsewhere classified
0999	detailed	099	Health and welfare not elsewhere classified
10	broad		Services
100	narrow	10	Services not further defined
1000	detailed	100	Services not further defined
101	narrow	10	Personal services
1010	detailed	101	Personal services not further defined
1011	detailed	101	Domestic services
1012	detailed	101	Hair and beauty services
1013	detailed	101	Hotel, restaurants and catering
1014	detailed	101	Sports
1015	detailed	101	Travel, tourism and leisure
1019	detailed	101	Personal services not elsewhere classified
102	narrow	10	Hygiene and occupational health services
1020	detailed	102	Hygiene and occupational health services not further defined
1021	detailed	102	Community sanitation
1022	detailed	102	Occupational health and safety
1029	detailed	102	Hygiene and occupational health services not elsewhere classified
103	narrow	10	Security services
1030	detailed	103	Security services not further defined
1031	detailed	103	Military and defence
1032	detailed	103	Protection of persons and property
1039	detailed	103	Security services not elsewhere classified
104	narrow	10	Transport services
1041	detailed	104	Transport services
108	narrow	10	Inter-disciplinary programmes and qualifications involving services
1088	detailed	108	Inter-disciplinary programmes and qualifications involving services
109	narrow	10	Services not elsewhere classified
1099	detailed	109	Services not elsewhere classified
99	broad		Field unknown
999	narrow	99	Field unknown
9999	detailed	999	Field unknown
